日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,毛贵良,个人,A股,1195300,0.65%,不变,--,000502
2017-09-30,潘光明,个人,A股,949163,0.52%,27700,3.01%,000502
2017-09-30,王昕,个人,A股,900000,0.49%,新进,--,000502
2017-09-30,刘荣赠,个人,A股,7612695,0.85%,不变,--,000503
2017-09-30,汪铭泉,个人,A股,6650000,0.74%,不变,--,000503
2017-09-30,张毅,个人,A股,6078178,0.68%,不变,--,000503
2017-09-30,潘丽,个人,A股,5797708,0.65%,不变,--,000503
2017-09-30,孙志英,个人,A股,4544000,0.51%,不变,--,000503
2017-09-30,吕益先,个人,A股,7995900,2.57%,1000,0.01%,000504
2017-09-30,邵雄,个人,A股,5135128,1.65%,532828,11.58%,000504
2017-09-30,白效洪,个人,A股,3392190,1.09%,不变,--,000504
2017-09-30,李宝珍,个人,A股,2595000,0.84%,-387700,-13.00%,000504
2017-09-30,LI SHERYN ZHAN MING,个人,B股,21282800,5.00%,373400,1.79%,000505
2017-09-30,梅建英,个人,A股,2583803,0.61%,不变,--,000505
2017-09-30,姚丽媛,个人,B股,1950000,0.46%,不变,--,000505
2017-09-30,张晓霞,个人,B股,1949250,0.46%,不变,--,000505
2017-09-30,王小星,个人,A股,1836500,0.43%,不变,--,000505
2017-09-30,陈藕琴,个人,A股,1652679,0.39%,新进,--,000505
2017-09-30,王道,个人,A股,1633300,0.38%,新进,--,000505
2017-09-30,钟懿,个人,A股,1604283,0.38%,新进,--,000505
2017-09-30,许震,个人,A股,1595000,0.37%,-830500,-34.24%,000505
2017-09-30,郑强,个人,A股,65869034,7.09%,不变,--,000506
2017-09-30,王海榕,个人,A股,7100049,0.92%,350000,5.19%,000507
2017-09-30,黎东,个人,A股,5830000,0.76%,不变,--,000507
2017-09-30,吴民,个人,A股,4658180,0.60%,不变,--,000507
2017-09-30,刘正平,个人,A股,2515681,0.33%,不变,--,000507
2017-09-30,莫家碧,个人,A股,1850000,0.24%,新进,--,000507
2017-09-30,苏勇,个人,A股,1500000,0.19%,不变,--,000507
2017-09-30,李长浈,个人,A股,1253500,0.16%,新进,--,000507
2017-09-30,黄文,个人,A股,5314000,0.64%,4000,0.08%,000509
2017-09-30,赵霄,个人,A股,4167004,0.51%,新进,--,000509
2017-09-30,刘江东,个人,A股,19882105,3.53%,4652525,30.55%,000510
2017-09-30,黄鑫,个人,A股,5489500,0.97%,新进,--,000510
2017-09-30,刘效敏,个人,A股,3889820,0.69%,-724180,-15.70%,000510
2017-09-30,肖立海,个人,A股,8658870,0.75%,不变,--,000511
2017-09-30,肖立江,个人,A股,3018835,0.26%,不变,--,000511
2017-09-30,何兆丽,个人,A股,2793470,0.24%,不变,--,000511
2017-09-30,李建雄,个人,A股,2300000,0.20%,不变,--,000511
2017-09-30,郭贞安,个人,A股,2200000,0.19%,不变,--,000511
2017-09-30,张滨,个人,A股,1482902,0.18%,新进,--,000514
2017-09-30,鄢继雄,个人,A股,1279593,0.15%,新进,--,000514
2017-09-30,陈泽钦,个人,A股,1031500,0.12%,-68500,-6.23%,000514
2017-09-30,谭艳,个人,A股,1009400,0.12%,-62000,-5.79%,000514
2017-09-30,王建兴,个人,A股,936238,0.11%,新进,--,000514
2017-09-30,钱年英,个人,A股,818800,0.10%,30000,3.80%,000514
2017-09-30,高原,个人,A股,13985985,0.72%,6128174,77.99%,000516
2017-09-30,曹鹤玲,个人,A股,12349443,0.64%,不变,--,000516
2017-09-30,王文学,个人,A股,11623350,0.60%,1902750,19.57%,000516
2017-09-30,王怡心,个人,A股,750000000,24.71%,不变,--,000517
2017-09-30,王久芳,个人,A股,48750000,1.61%,不变,--,000517
2017-09-30,李卓,个人,A股,10000000,0.33%,不变,--,000517
2017-09-30,宫和霞,个人,A股,6227803,0.21%,不变,--,000517
2017-09-30,王洪明,个人,A股,102953443,10.00%,51789905,101.22%,000518
2017-09-30,郁琴芬,个人,A股,47357842,4.60%,新进,--,000518
2017-09-30,赵龙,个人,A股,43062918,4.18%,不变,--,000518
2017-09-30,徐瑞康,个人,A股,37330319,3.63%,不变,--,000518
2017-09-30,张惠丰,个人,A股,30539115,2.97%,不变,--,000518
2017-09-30,陈建国,个人,A股,26096809,2.53%,-931243,-3.45%,000518
2017-09-30,许稚,个人,A股,25939100,2.52%,新进,--,000518
2017-09-30,王四清,个人,A股,33745300,5.79%,128700,0.38%,000519
2017-09-30,喻国兵,个人,A股,9891600,1.70%,-400654,-3.89%,000519
2017-09-30,张粒,个人,A股,7558464,1.30%,22164,0.29%,000519
2017-09-30,李天虹,个人,A股,13300000,1.31%,1492400,12.64%,000520
2017-09-30,陈杰,个人,A股,13200000,1.30%,-140031,-1.05%,000520
2017-09-30,李天云,个人,A股,12060000,1.19%,-1620000,-11.84%,000520
2017-09-30,张伟丽,个人,A股,11901732,1.18%,6077784,104.36%,000520
2017-09-30,邹孝敏,个人,A股,11840100,1.17%,1480200,14.29%,000520
2017-09-30,洪更云,个人,A股,7008101,0.69%,新进,--,000520
2017-09-30,CAO SHENGCHUN,个人,B股,13829083,1.83%,5900,0.04%,000521
2017-09-30,龙芹芳,个人,B股,3353496,0.44%,759,0.02%,000521
2017-09-30,郑浩,个人,A股,7686300,1.72%,-1800,-0.02%,000523
2017-09-30,吴炎汉,个人,A股,4888400,1.10%,不变,--,000523
2017-09-30,刘世良,个人,A股,4138826,0.93%,不变,--,000523
2017-09-30,王炽旭,个人,A股,3900000,0.87%,不变,--,000523
2017-09-30,蒋文碧,个人,A股,3107200,0.70%,107000,3.57%,000523
2017-09-30,尹红,个人,A股,2960851,0.66%,-89800,-2.94%,000523
2017-09-30,陈庆辉,个人,A股,920100,0.34%,-3900,-0.42%,000524
2017-09-30,黎紫娟,个人,A股,900000,0.33%,-311000,-25.68%,000524
2017-09-30,冯翰超,个人,A股,834700,0.31%,-425400,-33.76%,000524
2017-09-30,陈彤宇,个人,A股,755700,0.28%,不变,--,000524
2017-09-30,庄海英,个人,A股,725000,0.27%,13500,1.90%,000524
2017-09-30,胡军,个人,A股,5543344,1.09%,不变,--,000525
2017-09-30,郭文娟,个人,A股,1511261,1.57%,420200,38.51%,000526
2017-09-30,俞晴,个人,A股,1300000,1.35%,-60000,-4.41%,000526
2017-09-30,刘伟,个人,A股,1103339,1.15%,不变,--,000526
2017-09-30,陈红,个人,A股,758600,0.79%,23900,3.25%,000526
2017-09-30,谌建平,个人,A股,747700,0.78%,-8500,-1.12%,000526
2017-09-30,阎占表,个人,A股,8000000,1.40%,-229900,-2.79%,000529
2017-09-30,吴小仙,个人,A股,2246400,0.39%,新进,--,000529
2017-09-30,崔丽舒,个人,A股,2180000,0.38%,30000,1.40%,000529
2017-09-30,李连安,个人,A股,2029757,0.36%,不变,--,000529
2017-09-30,牟柏霖,个人,A股,1964682,0.34%,新进,--,000529
2017-09-30,林镇铭,个人,B股,6190000,0.75%,-40000,-0.64%,000530
2017-09-30,孙慧明,个人,B股,5634499,0.68%,新进,--,000530
2017-09-30,张武,个人,A股,5110031,0.75%,2110031,70.33%,000531
2017-09-30,叶立棋,个人,A股,4667059,0.68%,2900,0.06%,000531
2017-09-30,丁春林,个人,A股,3109157,0.45%,不变,--,000531
2017-09-30,贾连喜,个人,A股,2410300,0.35%,336159,16.21%,000531
2017-09-30,罗晶,个人,A股,1790226,0.26%,新进,--,000531
2017-09-30,李葛卫,个人,A股,2150000,0.63%,不变,--,000532
2017-09-30,彭超,个人,A股,1000000,0.29%,新进,--,000532
2017-09-30,沙剑,个人,A股,887868,0.26%,新进,--,000532
2017-09-30,王毅,个人,A股,813508,0.24%,新进,--,000532
2017-09-30,张明园,个人,A股,54472109,7.95%,不变,--,000533
2017-09-30,温洪标,个人,A股,11667217,1.70%,56686,0.49%,000533
2017-09-30,李敏仙,个人,A股,17413264,3.54%,-491736,-2.75%,000534
2017-09-30,李邓,个人,A股,3215526,0.26%,新进,--,000536
2017-09-30,罗瑞云,个人,A股,9753593,1.90%,2420790,33.01%,000537
2017-09-30,汪向东,个人,A股,6800000,1.33%,1839500,37.08%,000537
2017-09-30,王春艳,个人,A股,6256675,1.22%,1477800,30.92%,000537
2017-09-30,张伟,个人,A股,5629091,1.10%,新进,--,000537
2017-09-30,王雪梅,个人,A股,5105291,1.00%,不变,--,000537
2017-09-30,陈发树,个人,A股,8948211,0.86%,不变,--,000538
2017-09-30,李卓,个人,A股,31009743,0.93%,9058358,41.27%,000539
2017-09-30,郑建祥,个人,B股,18453452,0.55%,新进,--,000539
2017-09-30,陈伟利,个人,A股,13880000,0.35%,4680000,50.87%,000540
2017-09-30,宋建波,个人,A股,8448621,0.21%,不变,--,000540
2017-09-30,郑舜珍,个人,A股,5500700,0.14%,新进,--,000540
2017-09-30,彭伟燕,个人,A股,8546042,0.68%,新进,--,000541
2017-09-30,徐克伟,个人,A股,15127350,0.84%,55900,0.37%,000543
2017-09-30,肖赛花,个人,A股,5003900,0.28%,新进,--,000543
2017-09-30,胡立新,个人,A股,4855117,0.27%,新进,--,000543
2017-09-30,谢艺群,个人,A股,2934196,0.84%,31996,1.10%,000544
2017-09-30,黄语晨,个人,A股,2909600,0.84%,新进,--,000544
2017-09-30,吴洁,个人,A股,2679453,0.77%,不变,--,000544
2017-09-30,赵妙真,个人,A股,2563200,0.74%,新进,--,000544
2017-09-30,王小江,个人,A股,7380486,0.77%,-1566600,-17.51%,000545
