share_code,company,english_name,address,shortname,legal_person,security,registrated_fund,Principal activities,post code,telephone,fax,website,listed time,prospectus time,Circulation,issue time,PE ration,发行方式,主承销商,上市推荐人,保荐机构
000012,中国南玻集团股份有限公司,"CSG Holding Co., Ltd.",广东省深圳市蛇口工业六路一号南玻大厦,南玻集团,陈琳,杨昕宇,"248,414.7547",非金属矿物制品业,518067,0755-26860666,0755-26692755,www.csgholding.com,1992-02-28,1991-12-03,"2,030",3.38,11.65,申请表抽签限额认购,招商银行 ,招商银行 ,招商证券股份有限公司 
000014,沙河实业股份有限公司,"Shahe Industrial Co., Ltd.",广东省深圳市南山区白石路2222号沙河世纪楼,沙河股份,陈勇,王凡,"20,170.5187",房地产业,518053,0755-86091298,0755-86090688,www.shahe.cn,1992-06-02,1991-12-19,"1,100",2.38,6.8,申请表抽签限额认购, , , 
000016,康佳集团股份有限公司,"Konka Group Co., Ltd.",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,深康佳,刘凤喜,吴勇军,"240,794.5408",计算机、通信和其他电子设备制造业,518057,0755-61368867,0755-26601139,www.konka.com,1992-03-27,1991-12-24,"3,015",3.9,7.07,申请表抽签限额认购,深圳经济特区证券公司 , , 
000017,深圳中华自行车(集团)股份有限公司,"Shenzhen China Bicycle Company (Holdings) Co., Ltd.",广东省深圳市布心路三零零八号,深中华,李海,孙龙龙,"55,134.7947",铁路、船舶、航空航天和其他运输设备制造业,518019,0755-28181666,0755-28181009,www.cbc.com.cn,1992-03-31,1991-12-28,"3,280",3.75,6.4,认购证方式,中国工商银行深圳信托投资公司 , , 
000018,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号,神州长城,陈略,杨春玲,"169,824.5011",建筑装饰和其他建筑业,100176,010-89045855,010-89045856,www.udcgroup.com,1992-06-16,1992-01-07,"1,520",1.5,7.04,认购证方式,深圳国际信托投资公司 , , 
000019,深圳市深宝实业股份有限公司,"Shenzhen Shenbao Industrial Co., Ltd.",广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,深深宝,郑煜曦,李亦研,"49,678.2303",酒、饮料和精制茶制造业,518057,0755-82027522,0755-82027522,www.sbsy.com.cn,1992-10-12,1991-12-01,"1,940",2.1, ,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 ,国泰君安证券股份有限公司 东莞证券有限责任公司 
000020,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",广东省深圳市福田区华发北路411幢,深华发,李中秋,杨斌,"28,316.1227",计算机、通信和其他电子设备制造业,518031,0755-86360201,0755-86360206,www.hwafa.com.cn,1992-04-28,1992-01-20,"2,963",1.9,9.5,申请表抽签限额认购,中国银行深圳国际信托咨询公司 , , 
000021,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",广东省深圳市福田区彩田路7006号,深科技,谭文鋕,葛伟强,"147,125.9363",计算机、通信和其他电子设备制造业,518035,"0755-83200095, 83205285",0755-83275075,www.kaifa.com.cn,1994-02-02,1993-11-22,"2,568",4.65, ,申请表抽签限额认购,中国工商银行深圳信托投资公司 ,中国工商银行深圳信托投资公司 , 
000022,深圳赤湾港航股份有限公司,Shenzhen Chiwan Wharf Holdings Limited.,广东省深圳市赤湾,深赤湾,白景涛,王永立,"64,476.3730",水上运输业,518068,0755-26694222,0755-26684117,www.szcwh.com,1993-05-05,1993-02-18,"4,600",3.1, ,申请表抽签限额认购,招商银行证券业务部 , , 
000023,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co., Ltd.",广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,深天地,杨国富,侯剑,"13,875.6240",非金属矿物制品业,518057,0755-86154212,0755-86154040,www.000023.cn,1993-04-29,1993-03-01,"2,530",3.1,11,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000025,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd.",广东省深圳市深南中路中核大厦,深特力,吕航,祁鹏,"29,728.1600",批发业,518031,0755-83989378,0755-83989386,www.tellus.cn,1993-06-21,1993-03-15,"2,598",4.18, ,申请表抽签限额认购,深圳国际信托投资公司 ,深圳国际信托投资公司 , 
000026,飞亚达(集团)股份有限公司,Fiyta Holdings Ltd.,广东省深圳市南山区高新南一道飞亚达科技大厦,飞亚达,黄勇峰,陆万军,"43,874.4881",零售业,518057,0755-86013198,0755-83348369,www.fiytagroup.com,1993-06-03,1993-03-10,"1,250",3.6, ,认购证方式,招商证券股份有限公司 ,巨田证券有限责任公司 ,招商证券股份有限公司 
000027,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层,深圳能源,熊佩锦,邵崇,"396,449.1597",电力、热力生产和供应业,518031,0755-83684138,0755-83684128,www.sec.com.cn,1993-09-03,1993-04-06,"10,730",3.5, ,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 ,国泰君安证券股份有限公司 招商证券股份有限公司 
000028,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,广东省深圳市福田区八卦四路15号一致药业大楼,国药一致,林兆雄,陈常兵,"42,812.6983",批发业,518029,"0755-25875195, 25875222",0755-25195435,www.szaccord.com.cn,1993-08-09,1993-05-05,"3,000",3.5,12.5,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000029,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co., Ltd.",广东省深圳市人民南路3005号深房广场47楼,深房集团,周建国,陈继,"101,166.0000",房地产业,518001,"0755-82293000-4718, 4715",0755-82294024,www.sfjt.com.cn,1993-09-15,1993-06-21,"11,200",3.8,13.9,申请表抽签限额认购,深圳经济特区证券公司 ,南方证券有限公司 , 
000030,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,富奥股份,甘先国,王晓平,"129,325.1508",汽车制造业,130011,0431-85122797,0431-85122756, ,1993-09-29,1993-06-28,"4,350",4.55,9.9,申请表抽签限额认购,深圳国际信托投资公司 ,深圳国际信托投资公司 , 
000031,中粮地产(集团)股份有限公司,"COFCO Property (Group) Co., Ltd.",广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,中粮地产,周政,宋冰心,"181,373.1596",房地产业,518048,"0755-23999000, 23999288",0755-23999299,www.cofco-property.cn,1993-10-08,1993-08-08,"6,700",4.38, ,申请表抽签限额认购,深圳国际信托投资公司 ,深圳国际信托投资公司 , 
000032,深圳市桑达实业股份有限公司,"Shenzhen SED Industry Co., Ltd.",广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,深桑达,周剑,钟彦,"42,225.4134",批发业,518057,0755-86316073,0755-86316006,www.sedind.com,1993-10-28,1993-08-12,"2,750",3.36,10.83,申请表抽签限额认购,中国银行深圳国际信托咨询公司 ,中国银行深圳国际信托咨询公司 , 
000034,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,神州数码,郭为,王继业,"65,407.0434",批发业,100085,010-82705411,010-82705651,www.digitalchina.com,1994-05-09,1993-10-18,"4,680",5.2,10.2,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000035,中国天楹股份有限公司,China Tianying Inc.,江苏省海安县城黄海大道（西）268号,中国天楹,严圣军,程健,"135,152.1423",生态保护和环境治理业,226600,0513-80688810,0513-80688820,www.chinakejian.net,1994-04-08,1993-11-24,"1,500",3.9,8.76,申请表抽签限额认购,招商银行 ,招商银行 , 
000036,华联控股股份有限公司,China Union Holdings Ltd.,广东省深圳市深南中路2008号华联大厦11层(1103-1109室),华联控股,董炳根,孔庆富,"114,148.7712",房地产业,518031,0755-83667257,0755-83667583,www.udcgroup.com,1994-06-17,1993-12-13,"3,410",2.6,10.83,申请表抽签限额认购,深圳国际信托投资公司 ,深圳国际信托投资公司 , 
000037,深圳南山热电股份有限公司,Shenzhen Nanshan Power Company Limited,广东省深圳市南山区月亮湾大道2097号,深南电,李新威,张杰,"60,276.2596",电力、热力生产和供应业,518053,0755-26948888,0755-26003684,www.nsrd.com.cn,1994-07-01,1994-01-03,"4,000",4.6,8.68,申请表抽签限额认购,国通证券有限责任公司 , , 
000038,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",广东省深圳市南山区沙河街道恩平街华侨城东部工业区东E4栋,深大通,郝亮,郝亮,"52,277.7419",商务服务业,518053,0755-26926508,0755-26910599,www.chinadatong.com,1994-08-08,1993-12-10,"1,200",3.68, ,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000039,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼,中集集团,王宏,于玉群,"298,288.9136",金属制品业,518067,0755-26691130,0755-26826579,www.cimc.com,1994-04-08,1994-02-01,"1,200",8.5,12.3,申请表抽签限额认购,招商银行证券业务部 ,招商银行证券业务部 , 
000040,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,东旭蓝天,朱胜利,柏志伟,"133,717.3272",土木工程建筑业,518001,0755-82367726,0755-82367753,www.bahjdc.com,1994-08-08,1994-02-18,"2,200",6,9.4,申请表抽签限额认购, , , 
000042,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co., Ltd.",广东省深圳市福田区百花五路长源楼,中洲控股,姚日波,尹善峰,"66,483.1139",房地产业,518054,0755-88393669,0755-88393600,www.zztzkg.com,1994-09-21,1994-05-26,"1,630",10.8,8.7,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000043,中航地产股份有限公司,AVIC Real Estate Holding Company Limited,广东省深圳市福田区振华路163号飞亚达大厦六楼,中航地产,石正林,杨祥,"66,696.1416",房地产业,518031,0755-83244582,0755-83688903,www.carec.com.cn,1994-09-28,1994-06-06,"2,028",5.5,8.5,申请表抽签限额认购,中银信托投资公司 ,国泰君安证券股份有限公司 ,招商证券股份有限公司 
000045,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co., Ltd.",广东省深圳市福田区华强北路3号深纺大厦6楼,深纺织,朱军,姜澎,"51,127.4149",计算机、通信和其他电子设备制造业,518031,0755-83776043,0755-83776139,www.chinasthc.com,1994-08-15,1994-05-28,"1,680",3.9,9.5,申请表抽签限额认购,南方证券有限公司 ,南方证券有限公司 ,长江证券承销保荐有限公司 
000046,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",北京市东城区建国门内大街28号民生金融中心C座22层,泛海控股,卢志强,陈怀东,"519,620.0656",房地产业,100005,010-85259683,010-85259797,www.fhjs.cn,1994-09-12,1994-05-31,"1,300",6.3,9.4,申请表抽签限额认购,中国平安保险(集团)股份有限公司 ,中国平安保险(集团)股份有限公司 ,长城证券有限责任公司 
000048,深圳市康达尔(集团)股份有限公司,"Shenzhen Kondarl (Group) Co., Ltd.",广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼,康达尔,罗爱华,胡琴,"39,076.8671",农副食品加工业,518048,0755-25425020,0755-25420155,www.kondarl.com,1994-11-01,1994-06-23,"2,180",4.8,9.41,申请表抽签限额认购,深圳经济特区证券公司 ,深圳经济特区证券公司 , 
000049,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼,德赛电池,刘其,王锋,"20,524.3738",电气机械和器材制造业,518057,0755-86299888,0755-86299889,www.desaybattery.com,1995-03-20,1995-01-10,"1,400",4.95,11.25,公开拍卖,中工信托投资公司 中国工商银行深圳信托投资公司 ,中工信托投资公司 中国工商银行深圳信托投资公司 , 
000050,天马微电子股份有限公司,"Tianma Microelectronics Co., Ltd.",广东省深圳市深南中路中航苑航都大厦22层南,深天马,陈宏良,陈冰峡,"140,109.8744",计算机、通信和其他电子设备制造业,518052,0755-86225886,0755-86225772,www.tianma.cn,1995-03-15,1995-01-16,"1,100",4.5, ,公开拍卖,国泰君安证券股份有限公司 ,国泰君安证券股份有限公司 ,广发证券股份有限公司 
000055,方大集团股份有限公司,"China Fangda Group Co., Ltd.",广东省深圳市高新区科技南十二路方大大厦,方大集团,熊建明,周志刚,"118,364.2254",金属制品业,518057,0755-26788571-6622,0755-26788353,www.fangda.com,1996-04-15,1996-03-29,"2,000",5.18,11.75,上网定价发行,国通证券有限责任公司 ,国通证券有限责任公司 ,中山证券有限责任公司 
000056,深圳市皇庭国际企业股份有限公司,"Shenzhen Wongtee International Enterprise Co., Ltd.",广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元,皇庭国际,郑康豪,曹剑,"117,534.5368",房地产业,518100,"0755-82535565, 82281888",0755-82285573,www.china-ia.com,1996-07-08,1996-06-21,"2,000",4.78,13.5,上网定价发行,深圳经济特区发展财务公司 ,深圳经济特区发展财务公司 , 
000058,深圳赛格股份有限公司,"Shenzhen SEG Co., Ltd.",广东省深圳市福田区华强北路群星广场A座三十一楼,深赛格,王宝,刘志军(代),"123,565.6249",商务服务业,518028,0755-83747939,0755-83975237,www.segcl.com.cn,1996-12-26,1996-12-12,"2,500",6.8,15.81,上网定价发行,南方证券有限公司 ,南方证券有限公司 , 
000059,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co., Ltd.",辽宁省盘锦市双台子区红旗大街,华锦股份,李春建,王维良,"159,944.2537",石油加工、炼焦和核燃料加工业,124021,"0427-5855742, 5856743",0427-5855742,www.hjch.com,1997-01-30,1997-01-03,"13,000",5.38,14.9,上网定价发行,国泰君安证券股份有限公司 ,国泰君安证券股份有限公司 ,国信证券股份有限公司 
000060,深圳市中金岭南有色金属股份有限公司,Shenzhen Zhongjin Lingnan Nonfemet Company Limited,广东省深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼,中金岭南,余刚,黄建民,"237,979.0218",有色金属冶炼和压延加工业,518040,0755-82839363,0755-83474889,www.nonfemet.com,1997-01-23,1997-01-10,"1,800",8,14.44,上网定价发行,招商银行证券业务部 ,国泰君安证券股份有限公司 招商银行证券业务部 ,光大证券股份有限公司 
000061,深圳市农产品股份有限公司,"Shenzhen Agricultural Products Co., Ltd.",广东省深圳市罗湖区布吉路1019号农产品批发市场第一层,农产品,蔡颖,江疆,"169,696.4131",商务服务业,518019,0755-82589004,0755-82589021,www.szap.com,1997-01-10,1996-12-26,"1,900",8.38,14.88,上网定价发行,光大证券有限责任公司 ,国泰君安证券股份有限公司 ,国信证券股份有限公司 
000062,深圳华强实业股份有限公司,"Shenzhen Huaqiang Industry Co., Ltd.",广东省深圳市福田区华强北路华强广场A座5楼,深圳华强,胡新安,王瑛,"72,131.6774",批发业,518057,0755-83216296,0755-83365392,www.szhq000062.com,1997-01-30,1997-01-20,"1,800",11.4,14.8,上网定价发行,国泰君安证券股份有限公司 ,广东国际信托投资公司 国泰君安证券股份有限公司 , 
000063,中兴通讯股份有限公司,ZTE Corporation,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,中兴通讯,殷一民,曹巍,"419,001.4530",计算机、通信和其他电子设备制造业,518057,0755-26770282,0755-26770286,www.zte.com.cn,1997-11-18,1997-10-06,"6,500",6.81,14.8,上网定价发行,国泰君安证券股份有限公司 ,国泰君安证券股份有限公司 蔚深证券有限责任公司 , 
000065,北方国际合作股份有限公司,Norinco International Cooperation Ltd.,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),北方国际,王粤涛,杜晓东,"51,300.3607",土木工程建筑业,100040,010-68137579,010-83528922,www.norinco-intl.com,1998-06-05,1998-04-16,"1,250",3.98,15,上网定价发行,国泰君安证券股份有限公司 ,国通证券有限责任公司 国泰君安证券股份有限公司 , 
000066,中国长城科技集团股份有限公司,"China Greatwall Technology Group Co., Ltd.",广东省深圳南山区科技工业园长城计算机大厦,中国长城,靳宏荣,郭镇,"294,406.9459",计算机、通信和其他电子设备制造业,518057,0755-26634759,0755-26631106,www.greatwall.cn,1997-06-26,1997-06-10,"5,700",6.58,16,全额预缴、比例配售、余额即退,中信证券股份有限公司 ,海南港澳国际信托投资有限公司 中信证券股份有限公司 ,海通证券股份有限公司 
000068,深圳华控赛格股份有限公司,"Shenzhen Huakong Seg Co., Ltd.",广东省深圳市大工业区兰竹大道以北CH3主厂房,华控赛格,黄俞,丁勤,"100,667.1464",计算机、通信和其他电子设备制造业,518118,0755-28339059,0755-89938787,www.ssg.com.cn,1997-06-11,1997-05-21,"15,000",5.45,13.9,上网定价发行,深圳国投国际证券投资基金部 ,深圳国投国际证券投资基金部 招商银行证券业务部 , 
000069,深圳华侨城股份有限公司,"Shenzhen Overseas Chinese Town Co., Ltd.",广东省深圳市南山区华侨城,华侨城,段先念,关山,"820,568.1415",房地产业,518053,0755-26909069,0755-26600936,www.octholding.com,1997-09-10,1997-08-04,"5,000",6.18,15,上网定价发行,国泰君安证券股份有限公司 ,国信证券股份有限公司 国泰君安证券股份有限公司 , 
000070,深圳市特发信息股份有限公司,"Shenzhen SDG Information Co., Ltd.",广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,特发信息,蒋勤俭,张大军,"62,699.4746",电气机械和器材制造业,518057,0755-26506648,0755-26506800,www.sdgi.com.cn,2000-05-11,2000-03-24,"7,000",7.9,29,"上网定价发行,网下配售,二级市场配售",国信证券股份有限公司 ,国信证券股份有限公司 中信证券股份有限公司 , 
000078,深圳市海王生物工程股份有限公司,"Shenzhen Neptunus Bioengineering Co., Ltd.",广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,海王生物,张思民,沈大凯,"264,661.3257",零售业,518057,0755-26013484,0755-26968995,www.neptunus.com,1998-12-18,1998-08-07,"1,910",5.36,14.5,上网定价发行,国信证券股份有限公司 ,东方信托投资公司 国信证券股份有限公司 , 
000088,深圳市盐田港股份有限公司,"Shenzhen Yan Tian Port Holdings Co., Ltd.",广东省深圳市盐田区盐田港海港大厦17-20层,盐田港,乔宏伟,陈磊,"194,220.0000",道路运输业,518081,0755-25290180,0755-25290932,www.yantian-port.com,1997-07-28,1997-07-07,"12,500",5.31,16.5,上网定价发行,华夏证券有限公司 ,华夏证券有限公司 国泰君安证券股份有限公司 中国经济开发信托投资公司 , 
000089,深圳市机场股份有限公司,"Shenzhen Airport Co., Ltd.",广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,深圳机场,罗育德,孙郑岭,"205,076.9509",航空运输业,518128,0755-23456331,0755-23456327,www.szairport.com,1998-04-20,1998-03-11,"10,000",6.38,14,上网定价发行,华夏证券有限公司 ,东方信托投资公司 , 
000090,深圳市天健(集团)股份有限公司,"Shenzhen Tagen Group Co., Ltd.",广东省深圳市福田区滨河大道5020号证券大厦21楼,天健集团,韩德宏,高建柏,"119,778.5535",土木工程建筑业,518033,"0755-83928130, 82992565",0755-83990006,www.tagen.cn,1999-07-21,1999-07-01,"5,800",8,16.33,上网定价发行,国信证券股份有限公司 ,长江证券有限责任公司 国信证券股份有限公司 ,联合证券有限责任公司 
000096,深圳市广聚能源股份有限公司,"Shenzhen Guangju Energy Co., Ltd.",广东省深圳市南山区海德三道天利中央商务广场22楼,广聚能源,张桂泉,嵇元弘,"52,800.0000",批发业,518054,0755-86000096,0755-86331111,www.gj000096.com,2000-07-24,2000-07-10,"8,500",6,30,上网定价发行,中信证券股份有限公司 ,山东证券有限责任公司 中信证券股份有限公司 , 
000099,中信海洋直升机股份有限公司,"CITIC Offshore Helicopter Co., Ltd.",广东省深圳市罗湖区解放西路188号,中信海直,蒲坚,徐树田,"60,607.0420",航空运输业,518052,0755-26723146,0755-26723146,www.cohc.citic,2000-07-31,2000-07-03,"6,000",10.2,39.23,上网定价发行,国信证券股份有限公司 ,中信证券股份有限公司 , 
000100,TCL集团股份有限公司,TCL Corporation,广东省惠州市仲恺高新技术开发区十九号小区,TCL集团,李东生,廖骞,"1,351,497.2063",计算机、通信和其他电子设备制造业,516001,0755-33311666、33311668,0755-33313819,www.tcl.com,2004-01-30,2004-01-07,"99,440",4.26,15.97,"上网定价发行,换股",中国国际金融有限公司 ,中国国际金融有限公司 ,中信证券股份有限公司 
000150,宜华健康医疗股份有限公司,"Yihua Healthcare Co., Ltd.",广东省汕头市澄海区文冠路北侧,宜华健康,陈奕民,邱海涛,"44,780.4877",卫生,515800,0754-85899788,0754-85890788,www.yihuarealestate.com,2000-08-07,2000-07-21,"7,000",7.68,43.68,"上网定价发行,二级市场配售",南方证券有限公司 ,长城证券有限责任公司 广东证券股份有限公司 南方证券有限公司 , 
000151,中成进出口股份有限公司,China National Complete Plant Import and Export Corporation Limited,北京市丰台区南四环西路188号二区8号楼,中成股份,刘艳,张朋,"29,598.0000",批发业,100011,010-84759518,010-64218032,www.complant-ltd.com,2000-09-06,2000-08-14,"7,000",7.78,24.31,上网定价发行,国信证券股份有限公司 ,国信证券股份有限公司 联合证券有限责任公司 , 
000153,安徽丰原药业股份有限公司,"Anhui Fengyuan Pharmaceutical Co., Ltd.",安徽省无为县北门外大街108号,丰原药业,何宏满,张军,"31,707.7630",医药制造业,230051,0551-64846153,0551-64846000,www.bbcayy.com,2000-09-20,2000-09-07,"2,500",18.8,53.26,上网定价发行,联合证券有限责任公司 ,联合证券有限责任公司 , 
000155,川化股份有限公司,Sichuan Chemical Company Limited,四川省成都市青白江区大弯镇团结路311号,川化股份,王诚,甄佳,"127,000.0000",化学原料和化学制品制造业,610041,028-80583839,028-89301890,www.scwltd.com,2000-09-26,2000-09-08,"13,000",6.18,26.87,"上网定价发行,二级市场配售",国信证券股份有限公司 ,国信证券股份有限公司 北京证券有限责任公司 , 
000156,华数传媒控股股份有限公司,"Wasu Media Holding Co., Ltd.",浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,华数传媒,王健儿,王颖轶,"143,335.1902",广播、电视、电影和影视录音制作业,310052,0571-28327789,0571-28327791, ,2000-09-06,2000-08-18,"3,600",8.98,44.9,"上网定价发行,二级市场配售",湘财证券有限责任公司 ,南方证券有限公司 湘财证券有限责任公司 , 
000157,中联重科股份有限公司,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",湖南省长沙市银盆南路361号,中联重科,詹纯新,申柯,"779,404.8075",专用设备制造业,410013,0731-88923908,0731-88923904,www.zoomlion.com,2000-10-12,2000-09-15,"5,000",12.74,34.43,"上网定价发行,二级市场配售",联合证券有限责任公司 ,联合证券有限责任公司 湘财证券有限责任公司 ,中国国际金融有限公司 
000158,石家庄常山北明科技股份有限公司,"Shijiazhuang Changshan Beiming Technology Co., Ltd.",河北省石家庄市和平东路183号,常山北明,肖荣智,池俊平,"165,287.4961",纺织业,50011,0311-86673856,0311-86673929,www.changshantex.com,2000-07-24,2000-07-06,"10,000",6.18,29.36,上网定价发行,国泰君安证券股份有限公司 ,国泰君安证券股份有限公司 ,平安证券有限责任公司 
000159,新疆国际实业股份有限公司,"Xinjiang International Industry Co., Ltd.",新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际9楼,国际实业,丁治平,李润起,"48,113.9294",批发业,830011,0991-5854232,0991-2861579,www.xjgjsy.com,2000-09-26,2000-09-01,"7,000",5.88,38.87,上网定价发行,南方证券有限公司 ,南方证券有限公司 山东证券有限责任公司 ,光大证券股份有限公司 
000166,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,申万宏源,陈亮,阳昌云,"2,253,594.4560",资本市场服务,830011,0991-2301870,0991-2301779,www.swhygh.com,2015-01-26,2015-01-25,"814,098",4.86, ,换股, , ,华泰联合证券有限责任公司 
